name,categories,lat,long
Spice Fusion,Indian Restaurant,51.30928853238663,0.035471022666566515
Taj Indian Restaurant Dunton Green,Indian Restaurant,51.31280770715255,0.10760069202346244
The Bull,Gastropub,51.3129138906687,0.18874109608249465
The Forge,Restaurant,51.313056,0.188916
S & S Bakery,Bakery,51.312946,0.18635
Hospices Of Hope Tea Room,Tea Room,51.31238406247449,0.19652222948845485
Pond View Café,Café,51.312162,0.196808
Willow Café,Café,51.312681,0.196493
Kemsing Fish Bar,Fish & Chips Shop,51.307722,0.209709
The Bell Inn,Gastropub,51.305988788850286,0.2298265275085214
Ming,Chinese Restaurant,51.30821478807288,0.4286329999638897
PizzaExpress,Pizza Place,51.32208945190106,-0.20388030486433834
Zizzi,Italian Restaurant,51.32210837312874,-0.20490959861152208
Caffe Italia,Café,51.32243131417235,-0.20222416788234576
Costa Coffee,Coffee Shop,51.3226465969579,-0.20148997856402276
Ciao Italia,Italian Restaurant,51.322318,-0.202538
Prezzo,Italian Restaurant,51.32194326259196,-0.2032796759158373
Caffè Nero,Coffee Shop,51.32231721761571,-0.20301791130045924
The Red Van,Filipino Restaurant,51.322567,-0.202871
Post,Restaurant,51.322028,-0.203305
Munch,Bakery,51.32259203751993,-0.20086777053259444
Domino's Pizza,Pizza Place,51.32247,-0.20161864
Banstead Tandoori,Indian Restaurant,51.321541,-0.204975
Happy Swan Express,Chinese Restaurant,51.319033,-0.153751
Cafe Buzz,English Restaurant,51.31913375854492,-0.14890986680984497
Mr Chips,Fish & Chips Shop,51.31890081753742,-0.1501382531447135
Singapore Orchid,Asian Restaurant,51.32051092667195,-0.13936978290738805
Canteen,Cafeteria,51.32012176513672,-0.13987140357494354
Mirch Masala,Indian Restaurant,51.319464,-0.138989
Thai Venue,Thai Restaurant,51.319574573777096,-0.1391597625702046
Wood & Stone,Pizza Place,51.319212,-0.139214
Göz,Turkish Restaurant,51.319564560729994,-0.13883918589697433
Papa Johns,Pizza Place,51.320274224468,-0.139062594646612
Kings Cafe,Café,51.320765,-0.139333
Roof,Cafeteria,51.32012176513672,-0.13987140357494354
Bella Art,Art Gallery,51.319339,-0.139251
Cafe Oasis,Café,51.320437,-0.138867
Kabada,Chinese Restaurant,51.323386,-0.129243
Ghurka Spice,Indian Restaurant,51.3232353996864,-0.1290128349245277
Sharp's Traditional Fish & Chips,Fast Food Restaurant,51.323134,-0.128938
T Raj,Indian Restaurant,51.322751091302635,-0.13188532398594457
Coughlans Bakery,Bakery,51.32329163170041,-0.12907583582654333
T.Raj,Indian Restaurant,51.32142671541191,-0.1345503330230713
Blossom House,Chinese Restaurant,51.31930190764479,-0.06474361505663428
Charlie's Fried Chicken,Fast Food Restaurant,51.3199359179844,-0.06460112512448944
Ozzi's Big Breakfast,Café,51.320006,-0.064993
Panahar,Indian Restaurant,51.320396320367024,-0.06607702244412758
the fresh pizza co,Pizza Place,51.322911,-0.050896
The Harrow,Gastropub,51.319529892801754,-0.042738247536300636
The Lookout,Café,51.320886,0.029146
Toby Carvey (Badgers Mount),Gastropub,51.3201621085775,0.16006220401507812
Horse and Groom,Gastropub,51.323311,0.28932
Siene Rigger,Seafood Restaurant,51.32805921506003,-0.2149958931534209
Indus,Indian Restaurant,51.32800287855748,-0.21495034315836764
Seine Rigger,Fish & Chips Shop,51.328129,-0.215162
Zaika,Indian Restaurant,51.32806931591037,-0.21497978355556038
Rohit Chicken,Fried Chicken Joint,51.32932307089635,-0.1256706085662096
tapas bar,Spanish Restaurant,51.3286068523818,-0.11877252070296275
Diwana,Indian Restaurant,51.33352016045004,-0.10161735881314415
Clay Cake Toppers,Bakery,51.3297828,-0.06893760000002658
Oriental Kitchen,Chinese Restaurant,51.32727220798251,-0.07077194116025708
Chris's BBQ Shack,BBQ Joint,51.333517,-0.054085
Fox & Hounds,Restaurant,51.33102156731581,-0.057263841966302576
Coolings Garden Centre,Garden Center,51.32917603698308,0.11986164549697205
Arthurs,Café,51.328924,0.120892
The Cock Inn,Restaurant,51.33066504058184,0.13569985451666197
Polhill Garden Centre,Garden Center,51.33161329437672,0.15314667193560788
Twig And Spoon Cafe,Café,51.331261577091986,0.28498781375746257
Andrews Fish Bar,Fish & Chips Shop,51.330359,0.441726
Zelda's Cafe,Snack Place,51.328495045347836,0.44170118436230627
Noble Hiuse,Chinese Restaurant,51.32719612732558,0.44137060463821093
Snodland Cafe,Café,51.32839807480477,0.44177566665792345
Dragon Boat,Chinese Restaurant,51.330810021996314,0.4431261716205636
Beaneys Medway Bakery,Bakery,51.32896784588387,0.4425066820521313
A La Carte Spice,Indian Restaurant,51.33040845984198,0.4420420716504966
Bbq Time,BBQ Joint,51.326899,0.436523
Favorite Snodland,Fried Chicken Joint,51.33072250670896,0.4424855776888917
Agra Tandoori,Indian Restaurant,51.329691076095365,0.44217372688272416
Venezia,Italian Restaurant,51.34387402606227,-0.20572234972380635
Clink Restaurant,English Restaurant,51.337599,-0.189762
Chopstix Noodle Bar,Noodle House,51.34226617807562,-0.1909668276411166
KFC,Fast Food Restaurant,51.3399159009142,-0.11438399287241093
Costa Coffee,Coffee Shop,51.33891040078387,-0.11640180937661485
