Code,Population_per_square_kilometre
E05000119,1533.512064
E05000120,3213.076923
E05000121,4318.905675999999
E05000122,3667.058271
E05000123,6154.548529
E05000124,3335.192934
E05000125,4083.395943
E05000126,4210.097720000001
E05000127,3456.605484
E05000128,18417.94872
E05000129,11811.94907
E05000130,11874.785590000001
E05000131,17870.7124
E05000132,13365.17413
E05000133,8836.92107
E05000134,18209.840809999998
E05000135,5050.612245
E05000136,19214.48087
E05000137,3697.7174579999996
E05000138,12198.16819
E05000139,14593.385209999999
E05000140,19986.88047
E05000141,21127.86885
E05000142,11396.2963
E05000143,12585.71429
E05000144,11780.42959
E05000145,15425.028180000001
E05000146,11080.87774
E05000147,5361.4591009999995
E05000148,11757.26141
E05000149,7954.255718
E05000150,1614.361359
E05000151,3002.6026030000003
E05000152,4806.414987
E05000153,5897.742364
E05000154,7869.360269
E05000155,1525.4879449999999
E05000156,2391.795666
E05000157,4481.054365999999
E05000158,7089.285714
E05000159,3784.088186
E05000160,2042.388906
E05000161,8415.898112
E05000162,1850.7649079999999
E05000163,5135.714286
E05000164,7398.152037000001
E05000165,10290.303390000001
E05000166,6398.091603
E05000167,5017.288694
E05000168,9604.356636
E05000169,7861.098293000001
E05000170,8838.873239
E05000171,6609.767025
E05000172,6255.865427000001
E05000173,8259.558428
E05000174,6527.102804
E05000175,4542.134831
E05000176,7917.5
E05000177,7145.122918000001
E05000178,4281.869269
E05000179,4855.528406
E05000180,6484.601449
E05000181,8881.741391
E05000182,8867.100977
E05000183,4552.647782999999
E05000184,5619.549419
E05000185,4192.502818
E05000186,3715.340011
E05000187,4607.132243999999
E05000188,9719.022688
E05000189,8328.606658
E05000190,10138.80126
E05000191,9544.250871
E05000192,9077.762619
E05000193,10125.25253
E05000194,5768.012668
E05000195,858.2979226
E05000196,1447.9677140000001
E05000197,6055.289229999999
E05000198,3638.4996770000002
E05000199,5630.882804999999
E05000200,4142.726718999999
E05000201,9677.239844
E05000202,2727.0047170000003
E05000203,3822.103114
E05000204,8058.390805
E05000205,8362.699639
E05000206,4767.559944
E05000207,5603.7011170000005
E05000208,5942.772204
E05000209,5727.55063
E05000210,7082.400358
E05000211,6826.318120999999
E05000212,7266.314598000001
E05000213,5176.278564
E05000214,6228.043724
E05000215,6418.615529
E05000216,7591.445428
E05000217,5343.271871
E05000218,5063.529412
E05000219,2776.961314
E05000220,5478.977741
E05000221,11353.87324
E05000222,7879.513765000001
E05000223,6298.149706
E05000224,4152.557856
E05000225,4429.049531000001
E05000226,7674.60655
E05000227,3630.687831
E05000228,4302.4319270000005
E05000229,7848.854962
E05000230,6738.967136
E05000231,16504.16171
E05000232,21352.339180000003
E05000233,16694.16942
E05000234,18676.63818
E05000235,17732.47033
E05000236,18480.31496
E05000237,18552.5641
E05000238,13543.222
E05000239,13368.4634
E05000240,21157.33015
E05000241,6842.888644
E05000242,14554.51128
E05000243,11350.12594
E05000244,15616.48016
E05000245,13717.59259
E05000246,14126.05042
E05000247,18567.41573
E05000248,17648.00995
E05000249,7824.142156999999
E05000250,20084.99096
E05000251,18905.13834
E05000252,13064.804470000001
E05000253,2603.488372
E05000254,16989.50525
E05000255,12687.07483
E05000256,11385.86957
E05000257,17325.8427
E05000258,17297.805640000002
E05000259,4910.195814
E05000260,12192.65033
E05000261,8719.672131
E05000262,10136.528690000001
E05000263,11105.9044
E05000264,16703.07692
E05000265,14754.424780000001
E05000266,4882.1278219999995
E05000267,10923.4104
E05000268,16645.54243
E05000269,9468.055556
E05000270,6978.936809999999
E05000271,9401.408451000001
E05000272,5147.659064
