Name,Latitude,Longitude,Platform / Entrance,Line
Ladbroke Grove,51.5173,-0.21114,Platform,Hammersmith & City
Lambeth North,51.49894,-0.11216,Entrance,Bakerloo
Lancaster Gate,51.512083,-0.175067,Entrance,Central
Latimer Road,51.513125,-0.218428,Platform,Hammersmith & City
Leicester Square,51.51148,-0.12849,??,"Northern, Piccadilly"
Leyton,51.556483,-0.005669,Entrance,Central
Leytonstone,51.56828,0.00739,Entrance,Central
Liverpool Street,51.517675,-0.082458,??,Central
London Bridge,51.505353,-0.084826,Mainline Through Platforms,"Jubilee, Northern"
Loughton,51.6417,0.05583,platforms,Central
Maida Vale,51.52989409,-0.185888819,Entrance,Bakerloo
Manor House,51.57038,-0.09601,on top of ticket hall,Piccadilly
Mansion House,51.51256,-0.09397,Queen Victoria Street entrance,"Circle, District"
Marble Arch,51.513597,-0.15869195,Entrance,Central
Marylebone,51.52266,-0.162996,Entrance,Bakerloo
Mile End,51.525306,-0.033471,Entrance,"Central, District, Hammersmith & City"
Mill Hill East,51.60892,-0.20965,Entrance,Northern
Monument,51.510165,-0.085991,Entrance on Monument Street,"Circle, District"
Moor Park,51.62970512,-0.432070848,Platform,Metropolitan
Moorgate,51.51817,-0.08859,By Moorfields entrance,"Northern, Circle, Hammersmith & City, Metropolitan, Northern City, Thameslink"
Morden,51.40222413,-0.194599126,Entrance,Northern
Mornington Crescent,51.53427,-0.13901,??,Northern
Neasden,51.55427,-0.25042,Platform,Jubilee
New Cross,51.477363,-0.0338817,Mainline platform,East London
New Cross Gate,51.47585,-0.04049,ELL platform,East London
Newbury Park,51.57565,0.08927,platforms,Central
North Acton,51.5237,-0.26019,Platform,Central
North Ealing,51.51807,-0.28838,Platform,Piccadilly
North Greenwich,51.50056,0.0036,Dome entrance,Jubilee
North Harrow,51.58503612,-0.362595264,Platform,Metropolitan
North Wembley,51.56258091,-0.304072648,Platform,Bakerloo
Northfields,51.499856,-0.313188,Platform,Piccadilly
Northolt,51.548467,-0.36968,Platform,Central
Northwick Park,51.57850117,-0.317857023,Platform,Metropolitan
Northwood,51.61098984,-0.423584422,Platform,Metropolitan
Northwood Hills,51.60043795,-0.408812575,Platform,Metropolitan
Notting Hill Gate,51.509028,-0.1962847,Entrance,"Central, Circle, District"
Oakwood,51.64739,-0.13192,platforms,Piccadilly
Old Street,51.52618,-0.08751,??,"Northern, Northern City"
Osterley,51.481569,-0.35196,Platform,Piccadilly
Oval,51.48214,-0.11284,Entrance,Northern
Oxford Circus,51.51517,-0.14119,Argyle Street entrance,"Bakerloo, Central, Victoria"
Paddington,51.51518466,-0.175538808,C/D Platform,"Circle, District"
Paddington (H&C Line,51.51909671,-0.176968859,H+C Platform,Hammersmith and City
Park Royal,51.52671,-0.28417,Platform,Piccadilly
Parsons Green,51.47488,-0.20205,Platform,District
Perivale,51.536673,-0.32391,Platform,Central
Piccadilly Circus,51.51022,-0.13392,Trocadero / Shaftesbury Avenue entrance,"Piccadilly, Bakerloo"
Pimlico,51.489081,-0.133037,Entrance,Victoria
Pinner,51.59270271,-0.380539158,Platform,Metropolitan
Plaistow,51.53122,0.01659,platforms,"District, Hammersmith & City"
Preston Road,51.57229051,-0.295813875,Platform,Metropolitan
Putney Bridge,51.46868,-0.2088141,East bound platform,District
Queen's Park,51.534179,-0.205257721,Platform,Bakerloo
Queensbury,51.59437,-0.28655,Platform,Jubilee
Queensway,51.510484,-0.18705,Entrance,Central
Ravenscourt Park,51.49419,-0.2356,Platform,District
Rayners Lane,51.57534,-0.3724,Platform,"Metropolitan, Piccadilly"
Redbridge,51.57618,0.04542,Entrance,Central
Regent's Park,51.52344,-0.14713,??,Bakerloo
Richmond,51.4632474,-0.300618047,Platform,District
Rickmansworth,51.64027898,-0.473521454,Platform,Metropolitan
Roding Valley,51.61691,0.04264,platforms,Central
Rotherhithe,51.50089,-0.05211,Entrance,East London
Royal Oak,51.519383,-0.187785,Platform,Hammersmith & City
Ruislip,51.57146,-0.42157,Platform,"Metropolitan, Piccadilly"
Ruislip Gardens,51.560711,-0.410587,Platform,Central
Ruislip Manor,51.57349,-0.41185,Platform,"Metropolitan, Piccadilly"
Russell Square,51.523243,-0.124336,Entrance,Piccadilly
St.James's Park,51.49971,-0.13394,Broadway exit,"Circle, District"
Seven Sisters,51.58318,-0.07495,mainline platforms,Victoria
Shadwell,51.51115,-0.05693,Tube Entrance,East London
Shepherd's Bush,51.50474,-0.21881,Old ticket hall,Central
Shepherd's Bush Mark,51.506063,-0.226231,Platform,Hammersmith & City
Sloane Square,51.49258474,-0.156090904,C/D Platform,"Central, District"
